FID,OBJECTID,ENTITY,LAYER1,ACTIVE,ROW_ID,COL_ID,ACRES,CELL_INTGR,Diff,Cal
15757,281,Polyline,1,0,2.000000000000000,72.000000000000000,639.996999999999957,1002072,0.0000000,0.0000000
15758,10838,Polyline,1,1,49.000000000000000,149.000000000000000,639.996999999999957,1049149,0.0024922,0.1471000
15759,8383,Polyline,1,1,38.000000000000000,131.000000000000000,639.996999999999957,1038131,0.0002090,0.1985960
15760,18250,Polyline,1,0,85.000000000000000,208.000000000000000,639.996999999999957,1085208,0.0000000,0.0000000
15761,5859,Polyline,1,0,27.000000000000000,113.000000000000000,639.996999999999957,1027113,0.0000000,0.0000000
15762,15260,Polyline,1,0,74.000000000000000,190.000000000000000,639.996999999999957,1074190,0.0000000,0.0000000
15763,3693,Polyline,1,0,16.000000000000000,95.000000000000000,639.996999999999957,1016095,0.0000000,0.0000000
15764,13525,Polyline,1,1,63.000000000000000,172.000000000000000,639.996999999999957,1063172,0.0151985,0.0492239
15765,565,Polyline,1,0,5.000000000000000,77.000000000000000,639.996999999999957,1005077,0.0000000,0.0000000
15766,11298,Polyline,1,1,52.000000000000000,154.000000000000000,639.996999999999957,1052154,0.0085697,0.0896887
15767,8641,Polyline,1,1,41.000000000000000,136.000000000000000,639.996999999999957,1041136,-0.0014244,0.2115270
15768,5878,Polyline,1,0,30.000000000000000,118.000000000000000,639.996999999999957,1030118,0.0000000,0.0000000
15769,16217,Polyline,1,0,77.000000000000000,195.000000000000000,639.996999999999957,1077195,0.0000000,0.0000000
15770,2157,Polyline,1,0,19.000000000000000,100.000000000000000,639.996999999999957,1019100,0.0000000,0.0000000
15771,14150,Polyline,1,1,66.000000000000000,177.000000000000000,639.996999999999957,1066177,0.0080464,0.0807493
